id,nome,raio,latitude,longitude
1,PONTO 1,300,-25.56742701740896,-51.47653363645077
2,PONTO 2,300,-25.568056,-51.480278
3,PONTO 3,250,-25.414167,-51.566944
4,PONTO 4,250,-25.718611,-51.831111
5,PONTO 5,163,-25.37240459807051,-51.497342622606084
6,PONTO 6,170,-22.718252406214955,-46.78627558343578
7,PONTO 7,250,-25.336667,-51.5125
8,PONTO 8,250,-24.558056,-54.036944
9,PONTO 9,250,-24.940833,-50.793611
10,PONTO 10,250,-25.279167,-51.628333
11,PONTO 11,250,-25.498056,-49275
12,PONTO 12,250,-20.071389,-45.312222
13,PONTO 13,250,-21.678056,-43.445833
14,PONTO 14,250,-23.6525,-46.716389
15,PONTO 15,250,-8.112778,-34.933889
16,PONTO 16,250,-22.754444,-45.122778
17,PONTO 17,250,-25.419167,-51.4875
18,PONTO 18,250,-25.5375,-48.554722
19,PONTO 19,250,-25.152222,-50.132778
20,PONTO 20,250,-23.598889,-46.888611
21,PONTO 21,250,-22.124722,-43.225833
22,PONTO 22,250,-25.445278,-51.654722
23,PONTO 23,250,-25.547778,-49.307222
24,PONTO 24,350,-25.363333,-51.468333
