data_posicao,id,ignicao,latitude,longitude,placa,velocidade
Wed Dec 12 2018 00:04:03 GMT-0200 (Hora oficial do Brasil),0,False,-25.3649141,-51.469891,TESTE001,0
Wed Dec 12 2018 00:34:06 GMT-0200 (Hora oficial do Brasil),1,False,-25.364917499999997,-51.469909799999996,TESTE001,0
Wed Dec 12 2018 01:04:09 GMT-0200 (Hora oficial do Brasil),2,False,-25.3649551,-51.4699588,TESTE001,0
Wed Dec 12 2018 01:34:12 GMT-0200 (Hora oficial do Brasil),3,False,-25.3649138,-51.4698871,TESTE001,0
Wed Dec 12 2018 02:04:15 GMT-0200 (Hora oficial do Brasil),4,False,-25.364885,-51.4699223,TESTE001,0
Wed Dec 12 2018 02:34:18 GMT-0200 (Hora oficial do Brasil),5,False,-25.364895999999998,-51.469911100000004,TESTE001,0
Wed Dec 12 2018 03:04:22 GMT-0200 (Hora oficial do Brasil),6,False,-25.364846,-51.469953000000004,TESTE001,0
Wed Dec 12 2018 03:34:26 GMT-0200 (Hora oficial do Brasil),7,False,-25.3649141,-51.4699506,TESTE001,0
Wed Dec 12 2018 04:04:29 GMT-0200 (Hora oficial do Brasil),8,False,-25.364897600000003,-51.4698788,TESTE001,0
Wed Dec 12 2018 04:34:32 GMT-0200 (Hora oficial do Brasil),9,False,-25.3648943,-51.4699216,TESTE001,0
Wed Dec 12 2018 05:04:35 GMT-0200 (Hora oficial do Brasil),10,False,-25.3648238,-51.469905100000005,TESTE001,0
Wed Dec 12 2018 05:34:38 GMT-0200 (Hora oficial do Brasil),11,False,-25.364933800000003,-51.4699125,TESTE001,0
Wed Dec 12 2018 06:04:42 GMT-0200 (Hora oficial do Brasil),12,False,-25.3648955,-51.469893799999994,TESTE001,0
Wed Dec 12 2018 06:34:45 GMT-0200 (Hora oficial do Brasil),13,False,-25.364886,-51.4699118,TESTE001,0
Wed Dec 12 2018 07:04:48 GMT-0200 (Hora oficial do Brasil),14,False,-25.364897,-51.4699666,TESTE001,0
Wed Dec 12 2018 07:34:51 GMT-0200 (Hora oficial do Brasil),15,False,-25.3649003,-51.4699385,TESTE001,0
Wed Dec 12 2018 08:04:54 GMT-0200 (Hora oficial do Brasil),16,False,-25.3649003,-51.4699273,TESTE001,0
Wed Dec 12 2018 08:34:57 GMT-0200 (Hora oficial do Brasil),17,False,-25.364931100000003,-51.4699368,TESTE001,0
Wed Dec 12 2018 09:04:59 GMT-0200 (Hora oficial do Brasil),18,False,-25.364919600000004,-51.46991679999999,TESTE001,0
Wed Dec 12 2018 09:35:02 GMT-0200 (Hora oficial do Brasil),19,False,-25.364950600000004,-51.46992,TESTE001,0
Wed Dec 12 2018 10:05:05 GMT-0200 (Hora oficial do Brasil),20,False,-25.364924600000002,-51.4699121,TESTE001,0
Wed Dec 12 2018 10:35:08 GMT-0200 (Hora oficial do Brasil),21,False,-25.3649085,-51.469902000000005,TESTE001,0
Wed Dec 12 2018 11:05:11 GMT-0200 (Hora oficial do Brasil),22,False,-25.364917499999997,-51.469938,TESTE001,0
Wed Dec 12 2018 11:35:14 GMT-0200 (Hora oficial do Brasil),23,False,-25.3648926,-51.469912799999996,TESTE001,0
Wed Dec 12 2018 12:05:17 GMT-0200 (Hora oficial do Brasil),24,False,-25.3649296,-51.469891600000004,TESTE001,0
Wed Dec 12 2018 12:35:20 GMT-0200 (Hora oficial do Brasil),25,False,-25.3649388,-51.469953600000004,TESTE001,0
Wed Dec 12 2018 13:05:23 GMT-0200 (Hora oficial do Brasil),26,False,-25.3648968,-51.469922100000005,TESTE001,0
Wed Dec 12 2018 13:35:26 GMT-0200 (Hora oficial do Brasil),27,False,-25.3649516,-51.469967100000005,TESTE001,0
Wed Dec 12 2018 14:05:29 GMT-0200 (Hora oficial do Brasil),28,False,-25.364873,-51.469955299999995,TESTE001,0
Wed Dec 12 2018 14:35:32 GMT-0200 (Hora oficial do Brasil),29,False,-25.364864100000002,-51.4699805,TESTE001,0
Wed Dec 12 2018 15:05:35 GMT-0200 (Hora oficial do Brasil),30,False,-25.3649055,-51.4699333,TESTE001,0
Wed Dec 12 2018 15:35:38 GMT-0200 (Hora oficial do Brasil),31,False,-25.3649446,-51.4699341,TESTE001,0
Wed Dec 12 2018 16:05:42 GMT-0200 (Hora oficial do Brasil),32,False,-25.3649171,-51.469928499999995,TESTE001,0
Wed Dec 12 2018 16:35:45 GMT-0200 (Hora oficial do Brasil),33,False,-25.3649151,-51.4699415,TESTE001,0
Wed Dec 12 2018 17:05:49 GMT-0200 (Hora oficial do Brasil),34,False,-25.364902100000002,-51.4698828,TESTE001,0
Wed Dec 12 2018 17:35:52 GMT-0200 (Hora oficial do Brasil),35,False,-25.3649736,-51.4699023,TESTE001,0
Wed Dec 12 2018 18:05:55 GMT-0200 (Hora oficial do Brasil),36,False,-25.3648981,-51.469930100000006,TESTE001,0
Wed Dec 12 2018 18:35:58 GMT-0200 (Hora oficial do Brasil),37,False,-25.364889,-51.469911100000004,TESTE001,0
Wed Dec 12 2018 19:06:01 GMT-0200 (Hora oficial do Brasil),38,False,-25.3648716,-51.469921299999996,TESTE001,0
Wed Dec 12 2018 19:36:04 GMT-0200 (Hora oficial do Brasil),39,False,-25.364863800000002,-51.4698893,TESTE001,0
Wed Dec 12 2018 20:06:07 GMT-0200 (Hora oficial do Brasil),40,False,-25.364901500000002,-51.4698735,TESTE001,0
Wed Dec 12 2018 20:36:10 GMT-0200 (Hora oficial do Brasil),41,False,-25.364922,-51.4699235,TESTE001,0
Wed Dec 12 2018 21:06:13 GMT-0200 (Hora oficial do Brasil),42,False,-25.3649245,-51.4699446,TESTE001,0
Wed Dec 12 2018 21:36:16 GMT-0200 (Hora oficial do Brasil),43,False,-25.364921,-51.469927500000004,TESTE001,0
Wed Dec 12 2018 22:06:19 GMT-0200 (Hora oficial do Brasil),44,False,-25.3648861,-51.469922499999996,TESTE001,0
Wed Dec 12 2018 22:36:21 GMT-0200 (Hora oficial do Brasil),45,False,-25.3648996,-51.4699201,TESTE001,0
Wed Dec 12 2018 23:06:25 GMT-0200 (Hora oficial do Brasil),46,False,-25.3648771,-51.4698895,TESTE001,0
Wed Dec 12 2018 23:36:28 GMT-0200 (Hora oficial do Brasil),47,False,-25.3649048,-51.469873299999996,TESTE001,0
Wed Dec 13 2018 00:06:31 GMT-0200 (Hora oficial do Brasil),48,False,-25.3649083,-51.4699545,TESTE001,0
Wed Dec 13 2018 00:36:34 GMT-0200 (Hora oficial do Brasil),49,False,-25.3648861,-51.4699038,TESTE001,0
Wed Dec 13 2018 01:06:37 GMT-0200 (Hora oficial do Brasil),50,False,-25.3648535,-51.4699203,TESTE001,0
Wed Dec 13 2018 01:36:40 GMT-0200 (Hora oficial do Brasil),51,False,-25.3648973,-51.469928100000004,TESTE001,0
Wed Dec 13 2018 02:06:44 GMT-0200 (Hora oficial do Brasil),52,False,-25.3648775,-51.469910999999996,TESTE001,0
Wed Dec 13 2018 02:36:47 GMT-0200 (Hora oficial do Brasil),53,False,-25.3649093,-51.469941999999996,TESTE001,0
Wed Dec 13 2018 03:06:50 GMT-0200 (Hora oficial do Brasil),54,False,-25.364915600000003,-51.4699666,TESTE001,0
Wed Dec 13 2018 03:36:53 GMT-0200 (Hora oficial do Brasil),55,False,-25.364897600000003,-51.4699606,TESTE001,0
Wed Dec 13 2018 04:06:56 GMT-0200 (Hora oficial do Brasil),56,False,-25.3649788,-51.4699236,TESTE001,0
Wed Dec 13 2018 04:36:59 GMT-0200 (Hora oficial do Brasil),57,False,-25.3648965,-51.469959100000004,TESTE001,0
Wed Dec 13 2018 05:07:01 GMT-0200 (Hora oficial do Brasil),58,False,-25.3648581,-51.4699126,TESTE001,0
Wed Dec 13 2018 05:37:04 GMT-0200 (Hora oficial do Brasil),59,False,-25.3649603,-51.469910799999994,TESTE001,0
Wed Dec 13 2018 06:07:07 GMT-0200 (Hora oficial do Brasil),60,False,-25.36492,-51.469879999999996,TESTE001,0
Wed Dec 13 2018 06:37:10 GMT-0200 (Hora oficial do Brasil),61,False,-25.3649313,-51.4699468,TESTE001,0
Wed Dec 13 2018 07:07:13 GMT-0200 (Hora oficial do Brasil),62,False,-25.3649275,-51.4699435,TESTE001,0
Wed Dec 13 2018 07:37:16 GMT-0200 (Hora oficial do Brasil),63,False,-25.3648921,-51.4699078,TESTE001,0
Wed Dec 13 2018 08:07:19 GMT-0200 (Hora oficial do Brasil),64,False,-25.3649106,-51.469928,TESTE001,0
Wed Dec 13 2018 08:37:21 GMT-0200 (Hora oficial do Brasil),65,False,-25.364918600000003,-51.469958,TESTE001,0
Wed Dec 13 2018 09:07:24 GMT-0200 (Hora oficial do Brasil),66,False,-25.364874,-51.469925599999996,TESTE001,0
Wed Dec 13 2018 09:37:27 GMT-0200 (Hora oficial do Brasil),67,False,-25.364860600000004,-51.469967499999996,TESTE001,0
Wed Dec 13 2018 10:07:30 GMT-0200 (Hora oficial do Brasil),68,False,-25.364945000000002,-51.4699991,TESTE001,0
Wed Dec 13 2018 10:37:33 GMT-0200 (Hora oficial do Brasil),69,False,-25.364900600000002,-51.469953100000005,TESTE001,0
Wed Dec 13 2018 11:07:36 GMT-0200 (Hora oficial do Brasil),70,False,-25.3648865,-51.4699123,TESTE001,0
Wed Dec 13 2018 11:37:39 GMT-0200 (Hora oficial do Brasil),71,False,-25.3648901,-51.469913500000004,TESTE001,0
Wed Dec 13 2018 12:07:43 GMT-0200 (Hora oficial do Brasil),72,False,-25.3649675,-51.4699678,TESTE001,0
Wed Dec 13 2018 12:37:46 GMT-0200 (Hora oficial do Brasil),73,False,-25.364933999999998,-51.4699683,TESTE001,0
Wed Dec 13 2018 13:07:49 GMT-0200 (Hora oficial do Brasil),74,False,-25.364874,-51.4699355,TESTE001,0
Wed Dec 13 2018 13:37:52 GMT-0200 (Hora oficial do Brasil),75,False,-25.3649676,-51.4699716,TESTE001,0
Wed Dec 13 2018 14:07:55 GMT-0200 (Hora oficial do Brasil),76,False,-25.3648706,-51.469924299999995,TESTE001,0
Wed Dec 13 2018 14:37:58 GMT-0200 (Hora oficial do Brasil),77,False,-25.3648628,-51.4700285,TESTE001,0
Wed Dec 13 2018 15:08:02 GMT-0200 (Hora oficial do Brasil),78,False,-25.3649066,-51.469924,TESTE001,0
Wed Dec 13 2018 15:38:05 GMT-0200 (Hora oficial do Brasil),79,False,-25.364932999999997,-51.469949799999995,TESTE001,0
Wed Dec 13 2018 16:08:08 GMT-0200 (Hora oficial do Brasil),80,False,-25.3649296,-51.469925599999996,TESTE001,0
Wed Dec 13 2018 16:38:11 GMT-0200 (Hora oficial do Brasil),81,False,-25.3649261,-51.4699331,TESTE001,0
Wed Dec 13 2018 17:08:14 GMT-0200 (Hora oficial do Brasil),82,False,-25.3649083,-51.469937,TESTE001,0
Wed Dec 13 2018 17:38:17 GMT-0200 (Hora oficial do Brasil),83,False,-25.3648966,-51.46998129999999,TESTE001,0
Wed Dec 13 2018 18:08:20 GMT-0200 (Hora oficial do Brasil),84,False,-25.3649361,-51.469871600000005,TESTE001,0
Wed Dec 13 2018 18:38:23 GMT-0200 (Hora oficial do Brasil),85,False,-25.364873100000004,-51.469957799999996,TESTE001,0
Wed Dec 13 2018 19:08:26 GMT-0200 (Hora oficial do Brasil),86,False,-25.3648646,-51.4699211,TESTE001,0
Wed Dec 13 2018 19:38:29 GMT-0200 (Hora oficial do Brasil),87,False,-25.3648618,-51.4699006,TESTE001,0
Wed Dec 13 2018 20:08:32 GMT-0200 (Hora oficial do Brasil),88,False,-25.364884600000003,-51.4699216,TESTE001,0
Wed Dec 13 2018 20:38:35 GMT-0200 (Hora oficial do Brasil),89,False,-25.364945000000002,-51.4699343,TESTE001,0
Wed Dec 13 2018 21:08:38 GMT-0200 (Hora oficial do Brasil),90,False,-25.364893300000002,-51.4699181,TESTE001,0
Wed Dec 13 2018 21:38:41 GMT-0200 (Hora oficial do Brasil),91,False,-25.364880600000003,-51.469930299999994,TESTE001,0
Wed Dec 13 2018 22:08:44 GMT-0200 (Hora oficial do Brasil),92,False,-25.364883600000002,-51.469932299999996,TESTE001,0
Wed Dec 13 2018 22:38:47 GMT-0200 (Hora oficial do Brasil),93,False,-25.364886300000002,-51.4699251,TESTE001,0
Wed Dec 13 2018 23:08:50 GMT-0200 (Hora oficial do Brasil),94,False,-25.3648528,-51.4699088,TESTE001,0
Wed Dec 13 2018 23:38:53 GMT-0200 (Hora oficial do Brasil),95,False,-25.3649138,-51.4699313,TESTE001,0
Wed Dec 14 2018 00:08:56 GMT-0200 (Hora oficial do Brasil),96,False,-25.3648993,-51.469933000000005,TESTE001,0
Wed Dec 14 2018 00:38:58 GMT-0200 (Hora oficial do Brasil),97,False,-25.364864100000002,-51.46986879999999,TESTE001,0
Wed Dec 14 2018 01:09:00 GMT-0200 (Hora oficial do Brasil),98,False,-25.364934299999998,-51.4699373,TESTE001,0
Wed Dec 14 2018 01:39:03 GMT-0200 (Hora oficial do Brasil),99,False,-25.3648891,-51.4698966,TESTE001,0
Wed Dec 14 2018 02:09:07 GMT-0200 (Hora oficial do Brasil),100,False,-25.364932500000002,-51.469928499999995,TESTE001,0
Wed Dec 14 2018 02:39:10 GMT-0200 (Hora oficial do Brasil),101,False,-25.3649,-51.4699075,TESTE001,0
Wed Dec 14 2018 03:09:13 GMT-0200 (Hora oficial do Brasil),102,False,-25.364921300000002,-51.4699276,TESTE001,0
Wed Dec 14 2018 03:39:16 GMT-0200 (Hora oficial do Brasil),103,False,-25.3649025,-51.4699506,TESTE001,0
Wed Dec 14 2018 04:09:18 GMT-0200 (Hora oficial do Brasil),104,False,-25.3649203,-51.4699058,TESTE001,0
Wed Dec 14 2018 04:39:22 GMT-0200 (Hora oficial do Brasil),105,False,-25.364862600000002,-51.469899600000005,TESTE001,0
Wed Dec 14 2018 05:09:25 GMT-0200 (Hora oficial do Brasil),106,False,-25.364880300000003,-51.469876,TESTE001,0
Wed Dec 14 2018 05:39:28 GMT-0200 (Hora oficial do Brasil),107,False,-25.3649125,-51.4699198,TESTE001,0
Wed Dec 14 2018 06:09:32 GMT-0200 (Hora oficial do Brasil),108,False,-25.364918,-51.4699398,TESTE001,0
Wed Dec 14 2018 06:39:35 GMT-0200 (Hora oficial do Brasil),109,False,-25.3648658,-51.469995000000004,TESTE001,0
Wed Dec 14 2018 07:09:38 GMT-0200 (Hora oficial do Brasil),110,False,-25.3648808,-51.46994779999999,TESTE001,0
Wed Dec 14 2018 07:39:41 GMT-0200 (Hora oficial do Brasil),111,False,-25.3648953,-51.469888,TESTE001,0
Wed Dec 14 2018 08:09:43 GMT-0200 (Hora oficial do Brasil),112,False,-25.3649106,-51.469953100000005,TESTE001,0
Wed Dec 14 2018 08:39:46 GMT-0200 (Hora oficial do Brasil),113,False,-25.364888600000004,-51.46991,TESTE001,0
Wed Dec 14 2018 09:09:49 GMT-0200 (Hora oficial do Brasil),114,False,-25.3648583,-51.4699768,TESTE001,0
Wed Dec 14 2018 09:39:52 GMT-0200 (Hora oficial do Brasil),115,False,-25.3648736,-51.4699736,TESTE001,0
Wed Dec 14 2018 10:09:55 GMT-0200 (Hora oficial do Brasil),116,False,-25.3648908,-51.4698985,TESTE001,0
Wed Dec 14 2018 10:39:58 GMT-0200 (Hora oficial do Brasil),117,False,-25.364911499999998,-51.4699571,TESTE001,0
Wed Dec 14 2018 11:10:01 GMT-0200 (Hora oficial do Brasil),118,False,-25.3648943,-51.4698888,TESTE001,0
Wed Dec 14 2018 11:40:04 GMT-0200 (Hora oficial do Brasil),119,False,-25.3648446,-51.4699575,TESTE001,0
Wed Dec 14 2018 12:10:07 GMT-0200 (Hora oficial do Brasil),120,False,-25.364902800000003,-51.46994,TESTE001,0
Wed Dec 14 2018 12:40:10 GMT-0200 (Hora oficial do Brasil),121,False,-25.364928,-51.470017600000006,TESTE001,0
Wed Dec 14 2018 13:10:13 GMT-0200 (Hora oficial do Brasil),122,False,-25.3648618,-51.469938799999994,TESTE001,0
Wed Dec 14 2018 13:40:16 GMT-0200 (Hora oficial do Brasil),123,False,-25.3648881,-51.4700676,TESTE001,0
Wed Dec 14 2018 14:10:19 GMT-0200 (Hora oficial do Brasil),124,False,-25.364867999999998,-51.46992410000001,TESTE001,0
Wed Dec 14 2018 14:40:22 GMT-0200 (Hora oficial do Brasil),125,False,-25.3649655,-51.4699741,TESTE001,0
Wed Dec 14 2018 14:43:07 GMT-0200 (Hora oficial do Brasil),126,True,-25.364895100000002,-51.469969,TESTE001,0
Wed Dec 14 2018 14:45:06 GMT-0200 (Hora oficial do Brasil),127,True,-25.3649545,-51.4699006,TESTE001,0
Wed Dec 14 2018 14:47:06 GMT-0200 (Hora oficial do Brasil),128,True,-25.364975,-51.469916999999995,TESTE001,0
Wed Dec 14 2018 14:49:06 GMT-0200 (Hora oficial do Brasil),129,True,-25.3649688,-51.469933600000005,TESTE001,0
Wed Dec 14 2018 14:51:06 GMT-0200 (Hora oficial do Brasil),130,True,-25.3649633,-51.46994229999999,TESTE001,0
Wed Dec 14 2018 14:53:06 GMT-0200 (Hora oficial do Brasil),131,True,-25.3649808,-51.4699488,TESTE001,0
Wed Dec 14 2018 14:55:06 GMT-0200 (Hora oficial do Brasil),132,True,-25.3649505,-51.46995379999999,TESTE001,0
Wed Dec 14 2018 14:57:06 GMT-0200 (Hora oficial do Brasil),133,True,-25.3649326,-51.4699533,TESTE001,0
Wed Dec 14 2018 14:59:06 GMT-0200 (Hora oficial do Brasil),134,True,-25.3649436,-51.4699513,TESTE001,0
Wed Dec 14 2018 15:01:06 GMT-0200 (Hora oficial do Brasil),135,True,-25.364965100000003,-51.4699645,TESTE001,0
Wed Dec 14 2018 15:03:06 GMT-0200 (Hora oficial do Brasil),136,True,-25.364955600000002,-51.469934,TESTE001,0
Wed Dec 14 2018 15:05:06 GMT-0200 (Hora oficial do Brasil),137,True,-25.3649646,-51.469926,TESTE001,0
Wed Dec 14 2018 15:07:06 GMT-0200 (Hora oficial do Brasil),138,True,-25.3649593,-51.4699153,TESTE001,0
Wed Dec 14 2018 15:08:25 GMT-0200 (Hora oficial do Brasil),139,False,-25.364960600000003,-51.4699311,TESTE001,0
Wed Dec 14 2018 15:08:25 GMT-0200 (Hora oficial do Brasil),140,False,-25.364960600000003,-51.4699311,TESTE001,0
Wed Dec 14 2018 15:40:28 GMT-0200 (Hora oficial do Brasil),141,False,-25.3649753,-51.4699666,TESTE001,0
Wed Dec 14 2018 16:10:30 GMT-0200 (Hora oficial do Brasil),142,False,-25.3649238,-51.4699085,TESTE001,0
Wed Dec 14 2018 16:40:33 GMT-0200 (Hora oficial do Brasil),143,False,-25.364919,-51.4699563,TESTE001,0
Wed Dec 14 2018 17:10:36 GMT-0200 (Hora oficial do Brasil),144,False,-25.3649073,-51.4699208,TESTE001,0
Wed Dec 14 2018 17:40:39 GMT-0200 (Hora oficial do Brasil),145,False,-25.364906,-51.4699141,TESTE001,0
Wed Dec 14 2018 18:10:42 GMT-0200 (Hora oficial do Brasil),146,False,-25.364866,-51.4699125,TESTE001,0
Wed Dec 14 2018 18:40:45 GMT-0200 (Hora oficial do Brasil),147,False,-25.364884600000003,-51.4699175,TESTE001,0
Wed Dec 14 2018 19:10:48 GMT-0200 (Hora oficial do Brasil),148,False,-25.3648981,-51.469964000000004,TESTE001,0
Wed Dec 14 2018 19:40:52 GMT-0200 (Hora oficial do Brasil),149,False,-25.3648968,-51.469938299999995,TESTE001,0
Wed Dec 14 2018 20:10:55 GMT-0200 (Hora oficial do Brasil),150,False,-25.364897,-51.4699185,TESTE001,0
Wed Dec 14 2018 20:40:58 GMT-0200 (Hora oficial do Brasil),151,False,-25.3649108,-51.4699011,TESTE001,0
Wed Dec 14 2018 21:11:01 GMT-0200 (Hora oficial do Brasil),152,False,-25.3648665,-51.4699095,TESTE001,0
Wed Dec 14 2018 21:41:03 GMT-0200 (Hora oficial do Brasil),153,False,-25.364885,-51.469908600000004,TESTE001,0
Wed Dec 14 2018 22:11:05 GMT-0200 (Hora oficial do Brasil),154,False,-25.3648901,-51.4699373,TESTE001,0
Wed Dec 14 2018 22:41:08 GMT-0200 (Hora oficial do Brasil),155,False,-25.364944,-51.4699368,TESTE001,0
Wed Dec 14 2018 23:11:11 GMT-0200 (Hora oficial do Brasil),156,False,-25.364898,-51.4699131,TESTE001,0
Wed Dec 14 2018 23:41:14 GMT-0200 (Hora oficial do Brasil),157,False,-25.364932999999997,-51.4699123,TESTE001,0
Wed Dec 15 2018 00:11:17 GMT-0200 (Hora oficial do Brasil),158,False,-25.364894500000002,-51.469927500000004,TESTE001,0
Wed Dec 15 2018 00:41:19 GMT-0200 (Hora oficial do Brasil),159,False,-25.364915300000003,-51.469922100000005,TESTE001,0
Wed Dec 15 2018 01:11:21 GMT-0200 (Hora oficial do Brasil),160,False,-25.364899800000003,-51.4699078,TESTE001,0
Wed Dec 15 2018 01:41:25 GMT-0200 (Hora oficial do Brasil),161,False,-25.3649035,-51.469882299999995,TESTE001,0
Wed Dec 15 2018 02:11:28 GMT-0200 (Hora oficial do Brasil),162,False,-25.3649348,-51.469921,TESTE001,0
Wed Dec 15 2018 02:41:31 GMT-0200 (Hora oficial do Brasil),163,False,-25.3649355,-51.469862299999996,TESTE001,0
Wed Dec 15 2018 03:11:34 GMT-0200 (Hora oficial do Brasil),164,False,-25.3648905,-51.469947600000005,TESTE001,0
Wed Dec 15 2018 03:41:37 GMT-0200 (Hora oficial do Brasil),165,False,-25.3649128,-51.4699245,TESTE001,0
Wed Dec 15 2018 04:11:40 GMT-0200 (Hora oficial do Brasil),166,False,-25.3649083,-51.4699488,TESTE001,0
Wed Dec 15 2018 04:41:43 GMT-0200 (Hora oficial do Brasil),167,False,-25.3648816,-51.4699216,TESTE001,0
Wed Dec 15 2018 05:11:46 GMT-0200 (Hora oficial do Brasil),168,False,-25.3648985,-51.4699156,TESTE001,0
Wed Dec 15 2018 05:41:49 GMT-0200 (Hora oficial do Brasil),169,False,-25.3649075,-51.469908600000004,TESTE001,0
Wed Dec 15 2018 06:11:52 GMT-0200 (Hora oficial do Brasil),170,False,-25.364921799999998,-51.4699068,TESTE001,0
Wed Dec 15 2018 06:41:55 GMT-0200 (Hora oficial do Brasil),171,False,-25.364954100000002,-51.469913299999995,TESTE001,0
Wed Dec 15 2018 07:11:58 GMT-0200 (Hora oficial do Brasil),172,False,-25.364848600000002,-51.4699466,TESTE001,0
Wed Dec 15 2018 07:42:01 GMT-0200 (Hora oficial do Brasil),173,False,-25.3648893,-51.4699045,TESTE001,0
Wed Dec 15 2018 08:12:03 GMT-0200 (Hora oficial do Brasil),174,False,-25.364890300000003,-51.4699436,TESTE001,0
Wed Dec 15 2018 08:42:06 GMT-0200 (Hora oficial do Brasil),175,False,-25.364951,-51.469926799999996,TESTE001,0
Wed Dec 15 2018 09:12:09 GMT-0200 (Hora oficial do Brasil),176,False,-25.364838600000002,-51.46997879999999,TESTE001,0
Wed Dec 15 2018 09:42:12 GMT-0200 (Hora oficial do Brasil),177,False,-25.3648811,-51.469924,TESTE001,0
Wed Dec 15 2018 10:12:15 GMT-0200 (Hora oficial do Brasil),178,False,-25.364916100000002,-51.469916999999995,TESTE001,0
Wed Dec 15 2018 10:42:18 GMT-0200 (Hora oficial do Brasil),179,False,-25.364903100000003,-51.4699683,TESTE001,0
Wed Dec 15 2018 11:12:21 GMT-0200 (Hora oficial do Brasil),180,False,-25.3649048,-51.469905600000004,TESTE001,0
Wed Dec 15 2018 11:42:24 GMT-0200 (Hora oficial do Brasil),181,False,-25.3648631,-51.4699781,TESTE001,0
Wed Dec 15 2018 12:12:27 GMT-0200 (Hora oficial do Brasil),182,False,-25.3648923,-51.4699318,TESTE001,0
Wed Dec 15 2018 12:42:31 GMT-0200 (Hora oficial do Brasil),183,False,-25.364901500000002,-51.4698981,TESTE001,0
Wed Dec 15 2018 13:12:34 GMT-0200 (Hora oficial do Brasil),184,False,-25.364821,-51.4699003,TESTE001,0
Wed Dec 15 2018 13:42:37 GMT-0200 (Hora oficial do Brasil),185,False,-25.3649036,-51.4699771,TESTE001,0
Wed Dec 15 2018 14:12:40 GMT-0200 (Hora oficial do Brasil),186,False,-25.364872000000002,-51.469946500000006,TESTE001,0
Wed Dec 15 2018 14:42:43 GMT-0200 (Hora oficial do Brasil),187,False,-25.364894600000003,-51.469986999999996,TESTE001,0
Wed Dec 15 2018 15:12:46 GMT-0200 (Hora oficial do Brasil),188,False,-25.364938600000002,-51.4699375,TESTE001,0
Wed Dec 15 2018 15:42:49 GMT-0200 (Hora oficial do Brasil),189,False,-25.364813,-51.4699568,TESTE001,0
Wed Dec 15 2018 16:12:52 GMT-0200 (Hora oficial do Brasil),190,False,-25.364894800000002,-51.46989129999999,TESTE001,0
Wed Dec 15 2018 16:42:55 GMT-0200 (Hora oficial do Brasil),191,False,-25.364890300000003,-51.469922,TESTE001,0
Wed Dec 15 2018 17:12:58 GMT-0200 (Hora oficial do Brasil),192,False,-25.3648885,-51.469936100000005,TESTE001,0
Wed Dec 15 2018 17:43:01 GMT-0200 (Hora oficial do Brasil),193,False,-25.3649293,-51.4699158,TESTE001,0
Wed Dec 15 2018 18:13:04 GMT-0200 (Hora oficial do Brasil),194,False,-25.364879000000002,-51.4699205,TESTE001,0
Wed Dec 15 2018 18:43:06 GMT-0200 (Hora oficial do Brasil),195,False,-25.3648801,-51.4699346,TESTE001,0
Wed Dec 15 2018 19:13:09 GMT-0200 (Hora oficial do Brasil),196,False,-25.364877,-51.469879999999996,TESTE001,0
Wed Dec 15 2018 19:43:12 GMT-0200 (Hora oficial do Brasil),197,False,-25.3649065,-51.4699506,TESTE001,0
Wed Dec 15 2018 20:13:15 GMT-0200 (Hora oficial do Brasil),198,False,-25.3648578,-51.4699076,TESTE001,0
Wed Dec 15 2018 20:43:18 GMT-0200 (Hora oficial do Brasil),199,False,-25.364932,-51.4699598,TESTE001,0
Wed Dec 15 2018 21:13:21 GMT-0200 (Hora oficial do Brasil),200,False,-25.364915600000003,-51.4699346,TESTE001,0
Wed Dec 15 2018 21:43:24 GMT-0200 (Hora oficial do Brasil),201,False,-25.364880600000003,-51.469906099999996,TESTE001,0
Wed Dec 15 2018 22:13:28 GMT-0200 (Hora oficial do Brasil),202,False,-25.3649096,-51.469916600000005,TESTE001,0
Wed Dec 15 2018 22:43:31 GMT-0200 (Hora oficial do Brasil),203,False,-25.3648978,-51.4699185,TESTE001,0
Wed Dec 15 2018 23:13:34 GMT-0200 (Hora oficial do Brasil),204,False,-25.3649193,-51.4699151,TESTE001,0
Wed Dec 15 2018 23:43:37 GMT-0200 (Hora oficial do Brasil),205,False,-25.3648601,-51.4698755,TESTE001,0
Wed Dec 16 2018 00:13:40 GMT-0200 (Hora oficial do Brasil),206,False,-25.364887300000003,-51.4699206,TESTE001,0
Wed Dec 16 2018 00:43:43 GMT-0200 (Hora oficial do Brasil),207,False,-25.364909100000002,-51.469905,TESTE001,0
Wed Dec 16 2018 01:13:46 GMT-0200 (Hora oficial do Brasil),208,False,-25.364876000000002,-51.4699118,TESTE001,0
Wed Dec 16 2018 01:43:49 GMT-0200 (Hora oficial do Brasil),209,False,-25.3648756,-51.4698788,TESTE001,0
